ad_finncode,ad_year,ad_km,ad_price,ad_title
347488929,2010,107518,46845,Opel Astra ASTRA 1.6-116
323446980,2001,116900,16777,Opel Astra ASTRA 1.6-101
233722095,2007,192498,26707,"Opel Astra 1,7 CDTI Cosmo"
348596932,2011,83500,39845,Opel Astra ASTRA 1.4-101
348556618,2017,100000,129305,Opel Astra ASTRA 1.6-110 D
348554876,2020,58200,229900,Opel Astra 1.4  - Skinn - AGR seter - Varme i ratt - Hengerfeste
345341924,2007,249000,21845,Opel Astra Reperasjonsobjekt.I daglig drift. ASTRA 1.7-101 D
348431154,2011,175000,26845,Opel Astra ASTRA 1.4-140
348402259,2016,136697,154305,"Opel Astra Sports Tourer 1,4 Turbo 150hk"
348323601,2012,102700,59800,"Opel Astra 1,4 Turbo 120hk S/S Sports Tourer Cosmo m/DAB+"
348220427,2008,184132,29845,Opel Astra ASTRA 1.9-120 D
348221968,2022,40131,339900,Opel Astra Hybrid 180hk GS Line Intelli-HUD-Krok-Nappaskinn+++
348201266,2017,91600,149900,Opel Astra SPORTS TOURER+ 1.6D 110HK/Premium/Matrix/H.Feste/Skinn
348198938,2017,98600,168900,"Opel Astra 1,4 Turbo 150hk Premium"
320607028,2002,195000,8777,Opel Astra ASTRA 1.6-101
348161539,2019,21000,189800,"Opel Astra SPORTS TOURER,DAB+,AGR,AdptCruise,Klima,Rattvarme++"
348160571,2010,75900,89000,"Opel Astra 1,7 CDTi/110hk/KUN 75900 km/Krok/Historikk/EU 04.26"
348156013,2014,104329,99000,Opel Astra 1.4 120HK/1EIER/SKINN/R.KAM/DAB/OPPV.RATT/NAVI/BT/LED+
348136789,1994,107445,46845,Opel Astra ASTRA 1.6-101
348128847,2012,86353,83845,"Opel Astra 1,7 CDTi Start/Stopp Sport"
348104811,2006,226000,10845,Opel Astra ASTRA 1.4-90
347917404,2017,116434,189900,"Opel Astra Sports Tourer 1,6 Turbo 200hk Dynamic"
315597219,2008,254000,36777,Opel Astra 1.3 cdti/Cosmo/ 6 trinn
348037643,2020,33500,229000,Opel Astra 1.4 FIRST EDITION 145HK NAVI ACC KAMERA
348037410,2011,129300,89990,"Opel Astra AUTOMAT 1,4 Bensin Turbo 140hk 1 eier"
347960992,2011,195000,33854,Opel Astra ASTRA 1.2-95 D. EU OK til 31 01 2025
347488929,2010,107518,46845,Opel Astra ASTRA 1.6-116
347914911,2017,141000,189000,"Opel Astra Sports Tourer 1,6 CDTI 136hk Premium aut/ Soltak/AGR++"
302573835,2003,163500,37777,Opel Astra ASTRA 1.8-125 CAB
347929817,2020,22197,259000,"Opel Astra First Edition aut,Bose,Varme i Ratt ++"
347919550,2016,96000,134900,"Opel Astra 1,4 Turbo 150hk Innovation 150 HK-EU OK-SPORTSINTERIØR"
347800277,2006,98195,64000,"Opel Astra 1,6 Cosmo Twintop Cabriolet | Lav km.stand"
347792706,2016,56574,168800,"Opel Astra Sports Tourer 1,4 Turbo150hk Premium AUT| KAMERA| SKINN"
347774186,2023,27309,363000,Opel Astra Hybrid 180hk Elegance Adaptiv cruise/varme i ratt & FR
347661086,2007,217638,24845,Opel Astra ASTRA 1.6-105 nye EU 2 år
347003397,2005,185700,13845,"Opel Astra Manuell, EU godkjent"
347622303,2012,148000,59000,Opel Astra ASTRA 1.7cdti SPORTSTOURER innbytte mulig
347611975,2017,80500,129000,Opel Astra Sport Tourer Cruise Xenon Klima Dab+ oppvarmet ratt
347576837,2012,115524,88845,"Opel Astra 1,4 Turbo 120hk S/S Sports Tourer Cosmo TOPPMODELL"
347571299,2011,148000,65000,"Opel Astra | 1,3CDTI | Cruise |"
347172482,2007,198491,25845,Opel Astra ASTRA GTC 1.6-105
347268254,2012,168100,59845,Opel Astra SPORTS TOURER/EU-OK
347245639,2018,330371,108074,"Opel Astra 1,4 Turbo 150hk Premium"
347218639,2008,213000,49900,Opel Astra | God Historikk | EU-Godkjent til 03/26
346821541,2005,105634,27845,Opel Astra ASTRA 1.7-101 D
347147861,2007,190000,29900,"Opel Astra 1,9 120 HK CDTI AUTOMAT EU-GODKJENT TIL JUNI 2025"
347019626,2011,165000,59999,"Opel Astra 1,7 CDTi Cosmo Sports Tourer"
341343690,2020,54000,254000,Opel Astra ASTRA 1.4 T145hk  First Edition aut Topputgave
346964374,2010,133300,59900,Opel Astra EU 04.2026 // HISTORIKK // CRUISE // KROK // SE PRIS ++
346946591,2006,215493,21845,"Opel Astra 1,3 CDTI Enjoy"
302573835,2003,163500,37777,Opel Astra ASTRA 1.8-125 CAB
346919940,2019,84000,219900,"Opel Astra 1.4  150hk  Sportstour. Skinn, aut, krok++"
346919663,2012,197700,59900,Opel Astra EU 04.2026 // 1 FAM // 110 HK // KROK // SE PRIS !! +++
346819438,2010,243800,39900,Opel Astra EU 04.2026 // 1 EIER // 110 HK // HISTORIKK // KROK +++
346685508,2010,220000,39845,Opel Astra 1.7CDTi / EU Sept 24 / Flott bil
346619466,2024,6000,449900,Opel Astra SPORTS TOURER/GS/360Kam/Matrix/Purepanel/AGR seter
346114517,2007,226000,35845,"Opel Astra STATION WAGON, NY EU-OK, AUTOMAT"
330590751,2017,46700,193147,"Opel Astra Sports Tourer 1,4 Turbo 150hk Innovation"
345760330,2007,185000,23845,Opel Astra ASTRA 1.6-105
345895704,2006,243257,37845,Opel Astra ASTRA 1.9-120 D
339138949,2014,51986,93305,Opel Astra ASTRA 1.4-101  Eu ok til 2026
345559807,2010,104000,99000,"Opel Astra 1,6 Bensin 115HK/Navi/Cruise/Dab/Lavkm/Nyservice/NY EU+"
345325205,2017,66000,159000,Opel Astra 1.6 CDTI ECOFLEX 110HP- Ny service og EU- lav km
324866233,2010,169896,26777,Opel Astra ASTRA 1.7-110 D
345204099,2019,75719,239900,Opel Astra Premium Diesel Automat Stasjonsvogn Innbytte/finans/
345090075,2024,5000,449900,Opel Astra SPORTS TOURER/GS/413KM/360KAM/MATRIX/PURE PANEL/AGR
345046945,2017,138545,134900,"Opel Astra Sports Tourer 1,4 Turbo 150hk Premium Outlet/Toppmodell"
344965946,2024,4500,449900,Opel Astra Electric GS 156hk ST |Matrix |PurePanel |Stasjonsvogn
344963613,2010,109000,59000,Opel Astra 1.2d 95hk Manuell Krok LavKm ++
344934110,2010,29700,90000,Opel Astra 1.6 (116 HK) | CC
344924063,2012,191000,49000,"Opel Astra 1,4i.Turbo.140HK.EUsept25. 1-eiers! Full hist.Outlet!"
344920603,2008,243450,19000,Opel Astra Selges uklargjort som rep.objekt/kun små mangler/1eiers
344846355,2011,129500,99000,Opel Astra 1.4/140hk/Automat/P.sensor/Cruise/BT/Radio-FM/Isofix++
344833787,2004,273000,37845,Opel Astra 2.0Turbo 170hk / EU okt.2024 / Sprek bil
344803177,2017,71000,170000,"Opel Astra SPORTS TOURER+ 1,4 Turbo,150HK,Premium,CRUISE,SKINN+++"
344771039,2012,158900,79900,"Opel Astra EU 07.25, 1.4 TURBO, GTC TOPPUTGAVE, TILSTANDSRAPPORT"
344416157,2005,201000,23000,Opel Astra ASTRA 1.9-150 D Eu 07.25
344255784,2017,75000,189000,Opel Astra Premium / AGR / Skinn / Automat / Acc / Navi
344247067,2020,40700,249000,"Opel Astra Sports Tourer 1,4T 145hk First Edition aut Krok/skinn++"
344224452,2016,99500,103074,"Opel Astra 1,0 Turbo 105hk Innovation"
344132445,2017,157862,139000,Opel Astra Sports Tourer Premium 150HK Aut/Krok/Navi/CC/Skinn/DAB
343965337,2017,126426,105000,"Opel Astra Edition 1,0Di Turbo Sports Tourer Xenon,Dab,Cruise."
343604475,2019,129437,199000,Opel Astra Sports Tourer+ Premium / Aut / Krok / Skinn / AGR ++
343171846,2012,128000,79999,"Opel Astra ASTRA GTC 1.4-140 lavkm,ny service/tilstandsrapport"
343043755,2022,28000,325000,"Opel Astra Hybrid 180hk GS Line e-HUD / PURE PANEL / 7,4kWh LADER"
342964981,2010,139000,59000,Opel Astra Ny Eu kontroll/ lav km
342784252,2017,26000,249900,Opel Astra Turbo 200hk/Matrix/DAB/Skinn/Sportspakke/Norsk++
342728464,2022,33000,339000,Opel Astra 1.6  180HK/GS LINE/KROK/360KAM/AGR/NAPPA/HUD/INTELLI
342310447,2016,97000,129000,"Opel Astra Sports Tourer 1,0 Turbo 105hk Innovation/Webasto"
324605377,2016,95000,134147,"Opel Astra 1,6 CDTI 136hk Premium aut"
342046296,2016,137500,129500,Opel Astra 105HK Bensin/LED/DAB+/Cruice/EU ok 2/2026/1 Års GARANTI
341388565,2016,87800,149900,"Opel Astra SPORTS TOURER+ 1,4 Turbo 150HK!! Automat!! SE PRIS!!"
340440496,2009,136407,49000,Opel Astra Skinn Klima Dab+ Krok Ny eu
340242537,2014,110000,109000,"Opel Astra 1,6 CDTi 110hk Edition EU-OK 2026/LAV-KM/SE-HER!"
339970881,2010,162000,65000,Opel Astra 1.7 CDTI 110hk nylig eu-godkjent
339288195,2023,9500,519000,Opel Astra Hybrid 180hk GS /Carplay/Head Up/Forvarmer/H.Feste
339186249,2022,31000,377777,"Opel Astra Hybrid 180hk GS Line ""Kjøremaskin"", mye utstyr Plug in"
339170314,2011,158000,55000,Opel Astra SPORTS TOURER/ISOFIX/EU TIL 2025/SERVICEHEFTE
333109767,2017,140820,119900,"Opel Astra SPORT TOURER 1,4 TURBO/150HK/SERVICEHEFTE/GODT UTSTYRT"
337790915,2006,192000,39000,Opel Astra 1.2d 90HK Manuell Ny-Service EU25ok ++
348136789,1994,107445,46845,Opel Astra ASTRA 1.6-101
336724711,2011,94370,45000,"Opel Astra 1,4TURBO-140HK-AUTOMAT-LAV KM- REP.OBJEKT"
335498235,2022,7500,399900,Opel Astra 180 hk PHEV GS-Line
334640383,2013,119000,89000,Opel Astra STV CDTI 1.7 Sport Tourer |Delskinn|Navi|R.Kam|DAB+/H.F
332813479,2011,157000,51345,Opel Astra ASTRA 1.7-110 D
332571321,2022,12500,399000,Opel Astra GS-Line Hybrid. Tilhengerfeste. AGR. Navi HIFI
331686618,2022,11449,349000,Opel Astra PHEV 180HK GS Line Aut. WLTP 67 km. Demobil
329019313,2022,27400,359000,Opel Astra Hybrid 180Hk GS-Line
328748699,2022,23000,389900,Opel Astra 180hk Hybrid GS-Line m/ACC/AGR/Nappa/Massasje/360++
327049722,2008,148600,39900,Opel Astra EU 2026 // HISTORIKK // DAB // KROK // SE PRIS !! +++
325763958,2014,141700,69000,"Opel Astra 1,4/101hk/Manuell/Cruise/Krok/DAB/Isofix/P-sensor/++"
323787269,2000,185000,44900,Opel Astra -G-COUPE Bertone
323571796,2011,100900,49900,"Opel Astra 1,6  Cosmo Hengerfeste / Cruisekontroll"
297008108,2022,29556,349000,Opel Astra Hybrid 180hk GS Line Navi/HUD/ACC/H.feste/360 Kamera
319650299,2011,169000,39900,"Opel Astra 1,7 110 HK CDTI EU-GODKJ TIL JAN 2025, 6 MND GARANTI"
317784330,2007,154555,38000,Opel Astra CABRIO-SKINN-AC++ NEDSATT HØSTPRIS!!!
315172099,2022,13200,439000,"Opel Astra Hybrid 180hk GS Line H.feste, Topp utstyrt, Lav km.!"
314037091,2012,157400,89845,"Opel Astra GTC Coupe 1,4 Turbo 140 hk"
310930620,2013,253500,39990,"Opel Astra 1,7 TDI-110HK/CruiseControll/Navi/Dab/ServiceH."
303387028,2010,124000,69000,Opel Astra 1.6. 116HK SPORT 5 TRINN-DAB+-ISOFIX MEGET LAV KM124000
299707430,2006,222000,15000,"Opel Astra 1.9 D-120HJK- AUTOMAT, DELSKINN."
292274188,2023,5000,399900,Opel Astra Hybrid 180hk GS
289113866,2022,2900,389000,Opel Astra GS Line Plug in Hybrid
275745631,2007,142000,69900,"Opel Astra 1.8 Irmscher utgave,El Cab,Skinn++"
222129604,2020,54300,269000,"Opel Astra Sports Tourer 1,4T 145hk First Edition aut Matrix-LED"
79020213,1992,200200,99000,Opel Astra F  GSI 16V 3 DØR 5 GEAR TAKLUKE
